,Additional Paid in Capital,Book Value Per Share,Book to Market Value,Cash & Cash Equivalents,"Cash From (Repayment of) Short Term Debt, net",Cash From Long Term Debt,Cash from Financing Activities,Cash from Investing Activities,Cash from Operating Activities,"Cash, Cash Equivalents & Short Term Investments",Cost of revenue,Decrease in Long Term Investment,EBITDA,EPS,EV,EV/EBITDA,EV/FCF,EV/Sales,Earnings Growth Rate,Equity Before Minority Interest,FCF,FCF Per Share,Gross Profit,Income (Loss) Including Minority Interest,Income (Loss) from Continuing Operations,Increase in Long Term Investment,Long Term Borrowings,Long Term Debt,Market Cap,Net Change in Long Term Investment,Net Income,Net Income Available to Common Shareholders,Net Income/Starting Line,Operating Expenses,Operating Income (Loss),Other Long Term Assets,P/BV Ratio,P/E Ratio,P/FCF Ratio,P/S Ratio,PEG Ratio,Pretax Income (Loss),"Pretax Income (Loss), Adjusted",Research & Development,Retained Earnings,Revenue,RoE,Sales Per Share,Share Capital & Additional Paid-In Capital,Share Price,Short Term Investments,Total Assets,Total Current Assets,Total Current Liabilities,Total Equity,Total Liabilities,Total Liabilities & Equity,Total Noncurrent Assets,Total Noncurrent Liabilities,Treasury Stock
Additional Paid in Capital,1.0,0.005513408811097511,0.005514141188241565,0.8252030125965861,0.5541898080516661,0.055667199400081274,-0.49246241626870385,-0.5937246436639361,0.8963191003029548,0.9881764318469599,-0.9493108401821992,0.9639198135599798,0.8867136070134624,0.005481962648497672,0.7306477272241416,-0.005208298386507929,0.0006644979899258418,0.0022398799334010706,0.005578615119435572,0.9918902116684264,0.8229117449833228,0.005509126515021626,0.9691343021916333,0.8184931393019177,0.8183177294833514,-0.9301886700038432,0.7716628884010132,0.7611488388172165,0.6860946737371505,-0.42300206158557446,0.8184448766634124,0.818435778937291,0.818652677822355,-0.9939871746518699,0.8371065295789105,0.8958409377069073,0.006529447286306575,0.005037457621375636,0.0014723378889586914,0.002473296716283958,0.005631311762196646,0.8346668755629294,0.8399222797307733,-0.996100561298318,0.9702599126948828,0.9760434731027366,0.0006142140915566887,0.005526868746575678,0.9985453350090816,0.023768199683880872,0.9785365386602916,0.9861650707570279,0.9881776449705403,0.8027548594892919,0.9917800375514175,0.9198962630532544,0.9861650710342619,0.8799484713128733,0.8631651629865298,-0.9567982041100384
Book Value Per Share,0.005513408811097511,1.0,0.9999999942647576,0.002939893658065452,0.0014842177077528064,-0.00014257120320439702,-0.001419992346400702,-0.001470383245404947,0.0025498491856228204,0.002936086753505955,-0.0005689359728390046,0.0028726998160238625,0.0018003966240868635,0.9999989604401344,0.0010666789231251065,-0.0020838246860556743,-0.0008808076811270474,-0.0011235481964407736,0.9996174987879616,0.004382716221173081,0.002482882553162177,0.9999999940423944,0.0029814029036334595,0.0009704053194908311,0.001014241639496658,-0.002865246966728491,0.0014781146575414733,0.0006829461107498141,0.0008859477338833863,-0.00220044772408998,0.0009545460781002894,0.0010132796494671274,0.0010124260892541103,-0.004277538016090474,0.0009083209480799896,0.008976744262057093,-0.002178473004536012,-0.001113622843879262,-0.000988266528850079,-0.0011042593701869705,-0.0005862963173093172,0.0007848284097151698,0.0009269910600209555,-0.005002046761851446,0.002971959817161764,0.0019018205676871267,-0.00040364000338401516,0.9999999912650623,0.004762122060713127,-0.008984673799176418,0.002737377734535891,0.003332172028735288,0.0028289914594756046,0.00018483166480276372,0.004453416122587211,0.0012049250725096462,0.0033321719288556873,0.004643618146288683,0.0019610310159206916,-0.0030113268724793474
Book to Market Value,0.005514141188241565,0.9999999942647576,1.0,0.002941260935378193,0.001483134073031599,-0.00014269439393247628,-0.0014214338015568582,-0.0014680216376149117,0.002549149375936917,0.002935427844279159,-0.0005706277138397158,0.00287169676009406,0.001797685084411493,0.9999988199418567,0.0010657138892118082,-0.0020837467590988667,-0.0008802888767291159,-0.0011232122472860414,0.9996173193767219,0.004382226865152342,0.002481397378264461,0.9999999804404158,0.0029802924018480907,0.0009670113687404238,0.0010106933072236534,-0.0028638490772203316,0.0014767445295762144,0.0006829986596961847,0.0008849491235304328,-0.0021977788635867334,0.0009509834989393308,0.001009706465861511,0.001008857966350252,-0.0042783864143232766,0.0009046892718368357,0.008980479742844587,-0.002177626933025981,-0.0011131840797220865,-0.0009876262781568987,-0.0011039465028695441,-0.0005856766287063355,0.0007810528193050923,0.000923306767970091,-0.005003510322150676,0.0029711438581522167,0.001901992673853348,-0.00040363210093140626,0.9999999839842509,0.004762830163472066,-0.009028324440796591,0.002736060085845714,0.0033327726303097804,0.0028289176516618298,0.00018879927264765675,0.004453025470364819,0.0012072028511652135,0.003332772530492432,0.004646366970653444,0.0019612712277056266,-0.003011505596904372
Cash & Cash Equivalents,0.8252030125965861,0.002939893658065452,0.002941260935378193,1.0,0.5959893115554147,0.007593997850430487,-0.5618294039316191,-0.2012766695999174,0.8551888632758324,0.8541995906649015,-0.821462592731351,0.7349597246362223,0.8782883964383985,0.0029047137539698078,0.8254989184294901,-0.008530178845092473,-0.0028613160167042734,-0.0019681049880168043,0.002903393232287632,0.8380984715673431,0.8141756937064295,0.002936438891350154,0.8783523561340523,0.8569692640989578,0.8571907078135099,-0.6001352707748763,0.7848733610138972,0.7775983675628285,0.8009332409568295,0.013915602490620977,0.8574269759189458,0.8563193801937874,0.8570020033803047,-0.8225855127737127,0.8636340139136274,0.6880219051911246,0.0014000431864968558,0.0009497324691732935,-0.002079604716226077,-0.0018238585622042706,0.001919226555652638,0.8636534233404837,0.8629869123553721,-0.8098570977117036,0.8784303683757149,0.8665368810439973,0.0006264311630712942,0.0029511015597751874,0.8272891354404759,0.007828514086086749,0.7464597019611375,0.8473882562223235,0.8647385065647121,0.6579767023693224,0.8380512875236966,0.8148986607757095,0.8473882561301339,0.7049556487778011,0.8155714340646202,-0.8623239525966644
"Cash From (Repayment of) Short Term Debt, net",0.5541898080516661,0.0014842177077528064,0.001483134073031599,0.5959893115554147,1.0,0.3040334874619659,-0.15711000589356125,-0.240199158695947,0.4936035337469498,0.5874061921775477,-0.5049500531180329,0.5509186579750248,0.5798888872122963,0.0015007966786696344,0.5225934410533422,-0.005189034462205042,-0.0010278658726137898,-0.001384249127048054,0.0014663378989811,0.5363222137852298,0.4236124605082963,0.0014855206159392754,0.5791958431243632,0.5579100840064096,0.5578441577524003,-0.5079834211948897,0.7286298456079959,0.7012433707938917,0.498805334126973,-0.16901906311318043,0.5578988097059006,0.5579488743883024,0.5579920735583684,-0.5394377487603362,0.5734776537364974,0.42397705115441003,0.00039894855438014367,0.000773711244430973,-0.0006246950214649937,-0.0011290110856510178,0.0016243690134447014,0.5731141599053694,0.5701211998205361,-0.5424832251119943,0.5756673550611845,0.5543420699354689,2.516816472782416e-05,0.0014893702268909527,0.5532311345924482,-0.0006508444024296001,0.5451074327474947,0.5611399944339382,0.5894478301426082,0.3594249076959714,0.5362427489965377,0.5719400393374547,0.5611399945731415,0.4117354416463798,0.6705098734496217,-0.5934653269529391
Cash From Long Term Debt,0.055667199400081274,-0.00014257120320439702,-0.00014269439393247628,0.007593997850430487,0.3040334874619659,1.0,0.553654700987014,-0.03503113341635221,-0.17719909647854246,0.07123840865802099,-0.005736173444438266,0.14369403315072662,-0.06507738717509455,-0.00013432102322355862,-0.09858628946969741,-0.0008399149044899202,-0.0016354960796711299,-5.461480500529015e-05,-0.0001717905600749411,0.024031768719842514,-0.2614185467084447,-0.0001411279305959147,-0.016774609974966388,-0.11833008886937126,-0.11840155764450651,-0.15317700077216476,0.11400071570238533,0.11048728057174148,-0.11782531010561766,-0.10749661795077915,-0.11833956945808262,-0.11836867121907997,-0.11836395689064691,-0.03267813628665345,-0.0813534533527748,0.03264579396231791,0.002027735916020833,0.0001091582777869863,-0.0015385588958014287,8.447662133624249e-05,-0.0001534758535158792,-0.08973538786441096,-0.0872164831252479,-0.03071576451113008,-0.017743989068402265,-0.006597005222755742,-0.0004927236063380401,-0.0001415012527631455,0.055357252014291765,0.013977879409473225,0.08853773626441307,0.05312453894612615,0.0675538636468498,0.11455659451961193,0.024015585432739565,0.10034036590022255,0.053124538990657645,0.0004973164268206308,0.06828727985437785,-0.004257448916277428
Cash from Financing Activities,-0.49246241626870385,-0.001419992346400702,-0.0014214338015568582,-0.5618294039316191,-0.15711000589356125,0.553654700987014,1.0,-0.02350360709635214,-0.7275822913253702,-0.5072832446459947,0.48661491014898445,-0.39536707627409073,-0.6905167036249145,-0.001401046405176236,-0.6910415308235877,0.002737109233329196,-0.0005143095710265758,-0.0006030779424641351,-0.0013974091612009084,-0.4936586155087021,-0.7689390867012442,-0.0014182827944026993,-0.6163119385073523,-0.7236316946053859,-0.7234546314336727,0.26321089261336056,-0.4710644648977416,-0.451530508023714,-0.6933947262459524,-0.19151427561886067,-0.7237245883635376,-0.7228076411126941,-0.7236003642650061,0.4946289296818986,-0.716527744379608,-0.33558751789511676,-0.001440547598348209,-0.002277829312894173,-0.00013808493319218129,-0.0006679557871665841,-0.00407144882546149,-0.7107398649837884,-0.7164374980900365,0.4834994566868619,-0.6176952945416946,-0.5662902786667032,8.968188946482703e-05,-0.0014234490506164436,-0.4929086767719744,0.03148903813452762,-0.4544104195841495,-0.4923867081448286,-0.5164440457171221,-0.3355597129898813,-0.49362129846827446,-0.462008190174486,-0.49238670849083604,-0.3638494617030908,-0.4983035767917903,0.6375400650492824
Cash from Investing Activities,-0.5937246436639361,-0.001470383245404947,-0.0014680216376149117,-0.2012766695999174,-0.240199158695947,-0.03503113341635221,-0.02350360709635214,1.0,-0.5097894483047298,-0.5788049819355737,0.5881859765306153,-0.5503413044647784,-0.4562382706294591,-0.0014917699389115056,-0.2778656110849703,0.0034896931155796386,0.003002485327141836,-0.0010232388580769804,-0.0015121746755372156,-0.613996444005761,-0.4652591181796487,-0.0014690952256838307,-0.5426443006174719,-0.40430099480237225,-0.40471902815799793,0.7639101617855095,-0.37478923761046573,-0.3942992968959609,-0.24136355208585206,0.958313777334744,-0.40455365852005326,-0.40445306020109734,-0.40452788629107794,0.6052454138571058,-0.40345619779774505,-0.6372240925802897,-0.004210527361401076,-0.0018850388722703442,0.0011121952473969617,-0.0012403091847190853,-0.001694486160605685,-0.4138240055113049,-0.4114126300761536,0.6102044120533175,-0.5367057175014901,-0.5728174631499311,-0.0010371845066523776,-0.0014804400699557382,-0.5954251130640772,-0.05038324919498408,-0.6709664979246102,-0.6005434676404316,-0.5722389063631264,-0.5071349707679058,-0.6141263607014364,-0.5426380948974577,-0.600543467650914,-0.6325811959097323,-0.47698041423325177,0.4897771533649846
Cash from Operating Activities,0.8963191003029548,0.0025498491856228204,0.002549149375936917,0.8551888632758324,0.4936035337469498,-0.17719909647854246,-0.7275822913253702,-0.5097894483047298,1.0,0.9183844077359752,-0.8788927844558148,0.7873838291641367,0.9788169150009992,0.0025514977844969403,0.8820917031218878,-0.009055647059342465,-0.002790321041430038,-0.002078452692186835,0.0025424864953513637,0.9103469362778751,0.9830431885100781,0.0025484519460232625,0.9679695501550408,0.9672150623681196,0.9673818912102914,-0.7474197636987264,0.7959635595755787,0.7870838374653332,0.8562514304013255,-0.30685642088195064,0.9673923276500417,0.9665597098026995,0.9674909891256834,-0.8946828500900496,0.9675738515207016,0.7562877820028144,0.0011166232816483654,0.0005494632305471353,-0.0018966078565219014,-0.0018393843819456393,0.0022300023993938665,0.9685490775446042,0.9699953231967939,-0.8847672222558763,0.9656496238136514,0.9426844406781123,0.0004923884216884334,0.0025602690179683434,0.8975472993720556,0.007380205726125417,0.87881849503942,0.9096304269571125,0.9234230213836011,0.6912256516113083,0.9104186478469459,0.8560866814393117,0.9096304269538705,0.7725623747545586,0.8568007891026228,-0.9504096404433228
"Cash, Cash Equivalents & Short Term Investments",0.9881764318469599,0.002936086753505955,0.002935427844279159,0.8541995906649015,0.5874061921775477,0.07123840865802099,-0.5072832446459947,-0.5788049819355737,0.9183844077359752,1.0,-0.9362211060419721,0.9527368918249594,0.9187411970060712,0.0029344070743967127,0.7695179601313129,-0.007812537064714135,-0.0015094716748595609,-0.0007126565341649129,0.0029313424982237283,0.9825668846034475,0.8534898245193681,0.002934702862800518,0.980021570460875,0.8588152026314126,0.8588141315772648,-0.9161435653543701,0.824889111006613,0.8158843718957529,0.7256758561475559,-0.4080093741885564,0.859020346421017,0.8584729288137237,0.8588019226103257,-0.9810599175830016,0.878801205295805,0.8702131098629255,0.00342618609584919,0.001953065143226321,-0.00040009499732910334,-0.000439988714308907,0.002771231604198671,0.8751990752241915,0.8806663332179666,-0.9793346670274079,0.9815108959947495,0.9759753734861579,0.0005638872666205661,0.002948238173908531,0.9886592653610525,0.022751180515707445,0.9836130457030297,0.9895847241968612,0.9980874895045923,0.8098993717958957,0.9824559142198995,0.9451248533069881,0.9895847244274295,0.8617653020281834,0.9010874205373597,-0.971608502893813
